ano,area,tipoviolencia,sexo,nocasos,poblacion,tasa
2012,Usaqu?n,Intrafamiliar,Total general,2042,479830,4256
2012,Chapinero,Intrafamiliar,Total general,256,135160,1894
2012,Santa Fe,Intrafamiliar,Total general,651,109955,5921
2012,San Crist?bal,Intrafamiliar,Total general,2173,409257,531
2012,Usme,Intrafamiliar,Total general,2508,400686,6259
2012,Tunjuelito,Intrafamiliar,Total general,538,201593,2669
2012,Bosa,Intrafamiliar,Total general,4274,597522,7153
2012,Kennedy,Intrafamiliar,Total general,2641,1030623,2563
2012,Fontib?n,Intrafamiliar,Total general,972,353859,2747
2012,Engativ?,Intrafamiliar,Total general,2867,851299,3368
2012,Suba,Intrafamiliar,Total general,2828,1094488,2584
2012,Barrios Unidos,Intrafamiliar,Total general,378,234948,1609
2012,Teusaquillo,Intrafamiliar,Total general,177,147933,1196
2012,Los M?rtires,Intrafamiliar,Total general,471,98209,4796
2012,Antonio Nari?o,Intrafamiliar,Total general,281,108457,2591
2012,Puente Aranda,Intrafamiliar,Total general,640,258212,2479
2012,La Candelaria,Intrafamiliar,Total general,95,24160,3932
2012,Rafael Uribe Uribe,Intrafamiliar,Total general,1862,377272,4935
2012,Ciudad Bol?var,Intrafamiliar,Total general,2887,651586,4431
2012,Sumapaz,Intrafamiliar,Total general,170,6296,27001
2012,Distrito,Intrafamiliar,Total general,28711,7571345,3792
2013,Usaqu?n,Intrafamiliar,Total general,2609,484764,5382
2013,Chapinero,Intrafamiliar,Total general,291,136352,2134
2013,Santa Fe,Intrafamiliar,Total general,506,109945,4602
2013,San Crist?bal,Intrafamiliar,Total general,2612,408477,6394
2013,Usme,Intrafamiliar,Total general,2800,415898,6732
2013,Tunjuelito,Intrafamiliar,Total general,676,201230,3359
2013,Bosa,Intrafamiliar,Total general,4729,612754,7718
2013,Kennedy,Intrafamiliar,Total general,2672,1042080,2564
2013,Fontib?n,Intrafamiliar,Total general,944,362167,2607
2013,Engativ?,Intrafamiliar,Total general,2950,858935,3434
2013,Suba,Intrafamiliar,Total general,2850,1120342,2544
2013,Barrios Unidos,Intrafamiliar,Total general,457,236433,1933
2013,Teusaquillo,Intrafamiliar,Total general,191,149166,128
2013,Los M?rtires,Intrafamiliar,Total general,435,98450,4418
2013,Antonio Nari?o,Intrafamiliar,Total general,297,108607,2735
2013,Puente Aranda,Intrafamiliar,Total general,612,258102,2371
2013,La Candelaria,Intrafamiliar,Total general,81,24160,3353
2013,Rafael Uribe Uribe,Intrafamiliar,Total general,1640,376767,4353
2013,Ciudad Bol?var,Intrafamiliar,Total general,2548,663397,3841
2013,Sumapaz,Intrafamiliar,Total general,193,6340,30442
2013,Distrito,Intrafamiliar,Total general,30093,7674366,3921
2014,Usaqu?n,Intrafamiliar,Total general,2760,489526,5638
2014,Chapinero,Intrafamiliar,Total general,334,137281,2433
2014,Santa Fe,Intrafamiliar,Total general,619,109974,5629
2014,San Crist?bal,Intrafamiliar,Total general,3075,407416,7548
2014,Usme,Intrafamiliar,Total general,3105,427090,727
2014,Tunjuelito,Intrafamiliar,Total general,738,200725,3677
2014,Bosa,Intrafamiliar,Total general,5243,629066,8335
2014,Kennedy,Intrafamiliar,Total general,3287,1054850,3116
2014,Fontib?n,Intrafamiliar,Total general,1335,370976,3599
2014,Engativ?,Intrafamiliar,Total general,2497,866719,2881
2014,Suba,Intrafamiliar,Total general,3180,1146985,2772
2014,Barrios Unidos,Intrafamiliar,Total general,595,238380,2496
2014,Teusaquillo,Intrafamiliar,Total general,202,150236,1345
2014,Los M?rtires,Intrafamiliar,Total general,442,98637,4481
2014,Antonio Nari?o,Intrafamiliar,Total general,372,108766,342
2014,Puente Aranda,Intrafamiliar,Total general,617,258154,239
2014,La Candelaria,Intrafamiliar,Total general,94,24140,3894
2014,Rafael Uribe Uribe,Intrafamiliar,Total general,1802,376060,4792
